dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby,lastupdated,comment,followup,deleted
iOfjzBlv7TQ,202201,cd8AJF2SV0o,zh2zAaHyYQx,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T06:10:11.610+0000,,false
Kn8xMo3kffA,202201,cd8AJF2SV0o,zh2zAaHyYQx,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T06:09:32.800+0000,,false
npIzs2n622e,202201,cd8AJF2SV0o,zh2zAaHyYQx,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T06:06:45.126+0000,,false
LiSyn6bblsc,202201,cd8AJF2SV0o,zh2zAaHyYQx,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T05:55:00.436+0000,,false
sv6SeKroHPV,202201,cd8AJF2SV0o,zh2zAaHyYQx,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T05:46:50.897+0000,,false
sQ4EexvvhVe,202201,cd8AJF2SV0o,zh2zAaHyYQx,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T05:47:56.346+0000,,false
y6ofkvr4JP8,202201,cd8AJF2SV0o,zh2zAaHyYQx,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T05:58:48.781+0000,,false
eJ6uwSt5TEp,202201,cd8AJF2SV0o,zh2zAaHyYQx,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T06:14:33.684+0000,,false
JHOU1uXweoP,202201,cd8AJF2SV0o,zh2zAaHyYQx,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T06:04:20.179+0000,,false
QHnwKs2OUZv,202201,cd8AJF2SV0o,zh2zAaHyYQx,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T05:53:08.121+0000,,false
sv6SeKroHPV,202201,WmoemTft5Bj,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.orungo,2022-02-14T11:16:12.363+0000,,false
eJ6uwSt5TEp,202201,WmoemTft5Bj,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.orungo,2022-02-14T11:28:35.923+0000,,false
i0m5sElYwRw,202201,M864p5iRGub,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.adakun,2022-02-04T11:11:35.102+0000,,false
sv6SeKroHPV,202201,M864p5iRGub,zh2zAaHyYQx,Lf2Axb9E6B4,2,hmis.adakun,2022-02-04T11:02:16.177+0000,,false
JhvC7ZR9hUe,202201,M864p5iRGub,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.adakun,2022-02-04T11:03:59.884+0000,,false
wUDxFVBapIc,202201,AECp7SuwokS,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.stmichael,2022-02-07T13:04:24.360+0000,,false
aU0n2RXwQJC,202201,AECp7SuwokS,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.stmichael,2022-02-07T13:04:14.851+0000,,false
LiSyn6bblsc,202201,AECp7SuwokS,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.stmichael,2022-02-07T13:04:29.174+0000,,false
sv6SeKroHPV,202201,AECp7SuwokS,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.stmichael,2022-02-07T13:04:11.294+0000,,false
D9A0afrTYPw,202201,AECp7SuwokS,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.stmichael,2022-02-07T13:04:18.646+0000,,false
eJ6uwSt5TEp,202201,AECp7SuwokS,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.stmichael,2022-02-07T13:13:04.741+0000,,false
JhvC7ZR9hUe,202201,AECp7SuwokS,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.stmichael,2022-02-07T13:04:15.717+0000,,false
QHnwKs2OUZv,202201,AECp7SuwokS,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.stmichael,2022-02-07T13:04:27.079+0000,,false
sP8arX9aDLp,202201,dmsWl4MpI5p,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.morungatuny,2022-02-11T12:15:40.763+0000,,false
sv6SeKroHPV,202201,dmsWl4MpI5p,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.morungatuny,2022-02-11T07:44:54.134+0000,,false
O7du4F9jOVw,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:36:19.968+0000,,false
bRYoCXTmJCB,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:35:55.495+0000,,false
d4LbA3iyebD,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:34:51.300+0000,,false
wUDxFVBapIc,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:23:02.217+0000,,false
LR8778hLH8U,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-08T09:26:29.007+0000,,false
Rw3b8mGkyfh,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:29:05.197+0000,,false
Uo3DcCS7GQJ,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,2,hmis.amuria1,2022-02-08T09:28:09.168+0000,,false
PgLUhukgbZu,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:31:15.294+0000,,false
P2wDiYT9Ldr,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:31:06.808+0000,,false
wPvAkvR4dzH,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:36:41.765+0000,,false
OaRxaiaFBsA,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:31:43.244+0000,,false
Ltid4SErX2z,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:34:07.631+0000,,false
EeUWzpLdAcO,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:28:24.104+0000,,false
aU0n2RXwQJC,202201,wz2IJXrulbx,zh2zAaHyYQx,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:21:25.753+0000,,false
